1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347
23214.3766013,40663.3295778,24072.8353919,10192.8579082,19862.2110197,33625.2127237,22930.1989181,21507.0072908,17823.3720975,9944.3725071,22420.9668127,20397.3959415,21808.0861186,26060.3558202,121081.089506,11103.1030828,21602.3837603,301996.176088,14175.366475,36238.1456553,9976.33789845,12465.3916115,9791.9111728,9876.45756252,31058.343704,11103.4774393,13053.0003348,10078.4943311,9676.00554,11252.5062034,9334.4956741,54421.9642073,9230.16654296,10065.8617754,9991.56583175,9593.35875566,9371.0710045,10010.6000342,8713.52497292,8896.57257128,9129.30785663,10219.5562641,32325.9565361,19167.45753,18474.4833792,11159.3368971,11169.5604727,84420.6395111,6109.03941212,11622.3477753,11508.5421858,15122.9059308,9276.56363076,11079.7690201,10760.3311478,8798.54752541,11593.117538,10290.1576539,8927.23121643,14089.2301133,8978.29437952,9741.73246861,21581.0141086,9613.60729247,9008.08646995,13128.304996,19256.6239643,11843.2340852,11075.9731725,13457.6364262,11885.6022974,14174.2386699,9748.74796292,11857.1687981,10912.3959921,9766.35229105,12163.4709298,9381.91105915,9535.35987672,9040.55756371,11893.0965507,9546.21026904,11174.6357969,19651.6380175,10510.0030064,9325.29941156,12747.371056,10027.9465771,12046.5518953,11041.9646626,13436.7577999,10820.7446681,10901.2031099,10006.5077821,9088.38739054,10194.8456384,19692.2645229,32344.256218,9377.18513471,12154.0136215,9890.76642734,8915.89231645,9235.5679185,8844.05620312,8927.13245249,9985.53830589,8805.4464429,10706.1341895,14506.9098306,10681.2274131,9602.3690085,9940.06889511,10369.449452,8959.07149179,9694.41174925,10542.8748745,13641.8360494,11456.692035,14284.7650418,12564.8225458,8777.2272986,14507.7155489,10283.7355546,11991.7921281,9129.00127506,11251.4330444,9241.93406357,8646.22504251,10252.4333667,12725.1620835,12240.8703905,9003.50765926,10966.8963465,14884.8848085,9193.8212924,14937.4611898,10727.7199926,25967.7002757,13840.7526165,8764.8474164,12139.7135018,9105.93234389,454047.736944,14933.572854,8811.62726491,13852.2270175,16086.9942188,38401.4948656,42860.2741164,10303.5542959,18912.4755636,8636.26625497,40678.7649468,8551.73002727,10299.3718457,82361.8130022,10360.1837806,14883.4439084,24327.7866848,13632.0788726,8658.32177445,8531.62186046,19352.8476968,11969.8619358,14036.5451249,17634.4586046,22185.4514431,29565.0635977,8602.18345747,8910.00453679,1820887.13103,2410627.51998,20139.1467377,20142.0012231,21610.3387777,20994.0318155,25078.4068493,773400.835896,21407.9141339,19810.4948898,19332.4797535,19686.6569368,19605.1743589,20238.9012079,20245.1939684,673639.663184,35245.6976662,115581.606134,555223.202504,87078.9097839,4364877.56253,7480660.83714,353050.896482,225410.627848,3538190.27887,2222532.24138,46661.6848,69959.2491294,36085.4874257,24758.375,61005.4638444,82768.0600388,500.150001884,2988.79859098,10873.2214003,338710.696715,7831.3779459,6695.83004141,21563.4373115,25048.5724698,38513.088474,155615.907051,2086077.18567,756.740136007,305693.015644,18792.8289399,521058.865295,184527.060414,88766.0557485,618084.166982,283904.099937,67381.2078616,7663.88624243,22967.8837552,67875.4217282,85062.1049793,95651.9314948,489343.622414,145908.701705,104593.199262,60065.2886276,242428.976733,7832.63670789,8207010.98803,496538.954446,39133.768149,39006.9105416,21868.0339118,19633.7987679,18948.0646819,25207.0001951,20475.9479433,117087.425059,1804629.94192,93415.0799205,233964.091678,85785.7844445,179039.978934,82686.2258675,33323.9896355,11435.9762523,2368148.5871,15339.373779,22608.9563015,66509.6144487,13794.9626769,399892.674136,43557.1809225,22092.0356188,1365275.49921,772902.993763,14328.2675624,1292061.13277,15605.5953265,14031.4673266,87958.0075168,239978.28426,20084.081214,1183695.23716,239971.121857,16586.8798702,17028.6160356,184921.738168,141646.633975,689711.43685,37508.6606315,17038.200882,34124.1504068,34743.3567623,22209.165225,2104584.80421,48604.5883799,37893.0373118,31316.7825713,31138.0228224,250.091250479,34840.2965757,34357.8628928,124707.384133,1986359.80063,97997.3034116,51518.806112,64530.0246825,41253.9003895,26560.0637978,831764.785787,70353.9404369,31716.8493597,20265.8276502,21310.4059788,21021.1682408,34602.8470406,22793.8847503,32932.7148663,23571.7932128,43258.2686124,19346.2036946,39266.1107084,23977.6209148,21953.7091862,19490.458264,21401.3896539,21662.9671166,23364.3947446,21522.3889277,277205.9709,24301.8924562,90970.3111543,21563.8490487,22446.6405475,24641.8473572,18314.5367215,20465.0361377,20589.868172,20371.9570641,174353.123367,430525.539736,1803947.2387,185833.632878,11029.7429202,30786.1157439,12484.2203979,412394.984128,1397383.93843,49735.1269202,866358.897077,634067.855194,16879.3722647,748604.824797,42515.9236251,42037.491759,48793.2742451,65241.2713332,124233.726519,150188.526259,62679.7419208,214225.541763
4726.544307051567,5087.612590752754,3335.612788967546,2013.3637158581369,3161.7123286940478,5742.49179579383,4325.732782160112,3918.744940400398,1774.8733782382442,2553.5625885464833,3533.585580278625,3186.3844649311955,3625.0230667597257,4880.65022725854,1883.7517438395284,2295.4606860220365,3465.0352226228842,767.666251932932,2370.7342254103737,3604.286779224036,2444.4657620234416,3382.889412651324,2766.0432550345035,2484.2497991599193,0,1834.9291502895996,2230.1860441415747,3410.0411174278947,3419.015955283803,2159.44066501965,2357.211809503189,0,1887.4911526711594,2925.8050391723277,1839.7003444977458,2238.1793052862363,2518.3556466550685,2226.299937556529,2253.8489498163367,2421.910257118996,2134.114062367733,1867.1734744337316,1975.9327580685726,4112.887044735944,3181.069838239845,1904.6018606731343,2626.5065297972096,5350.521539915376,0.000722847544031513,1939.319930050785,2678.3445336927,1950.2377764000844,3069.9581256356396,1977.9464670641014,2222.6333580961655,2374.338945075505,2398.403510552741,2607.3324450122586,2424.115328878345,3114.080262478987,1861.8322736654832,2247.933769425979,2882.1738120030705,2351.7431479727584,2813.4126266890503,2499.6166461893313,4122.8606688533755,2092.3877671994337,1948.7536838826443,2381.3301248463345,3470.910211240682,2501.061046420972,2661.278110108131,2072.6250883771036,1862.7423517573393,2384.5540364848694,1968.8133106110736,1832.8392025439246,2397.026650296506,1939.9413526986677,2305.6334412517476,1921.7403576057884,2874.8212818023953,2313.716802062914,2324.9069065754657,2187.7535123235807,2143.3049127901622,2107.461272338242,2407.247694760385,2486.2437322589117,2392.826601954113,2552.891184272525,2286.9889066095325,2721.597509297765,3105.2479170268643,2523.767900751203,3488.074802029992,1810.1711578518723,1850.4224475358963,2269.290265809465,2126.979487558075,2677.175899682345,2249.5161349238397,2753.1675465265603,2809.7090518271884,2943.7496645782894,2132.9592197400125,1604.9121445729904,2471.1170279353823,2825.3139055704123,1932.6388992421237,1691.2012780769621,2374.5304574802612,1760.217916826267,2072.4020653759326,2225.216015782357,2263.2379780319634,2515.048217370029,3320.59105685758,3015.094456346265,2118.5155350689674,1891.9531173408373,3853.8777966763587,1885.5216671057965,2224.528568998136,2100.9585369091033,1935.475210024228,2163.0050547322303,2125.629085818506,2438.4388541494163,2492.70553043503,2985.4672093944896,2277.3710754264625,1993.7914934031455,2023.5025002862626,3543.9481940675146,2417.6854038292518,2168.610976525733,2110.6435110793204,2135.408612311053,3493.923664889195,2241.002567161851,0,2321.100524544594,2174.4058810908596,3192.9633368735035,3069.143392716497,2018.8722363853767,1951.457699484154,1930.445310055827,3324.6073849169447,1942.7741951788269,0,2531.17049773305,3043.5542114083264,0,2985.3848385389583,3036.8422703195993,2493.129746334923,2621.04331648906,2365.6735962428465,1616.048042613433,3858.2320776902293,2292.387681734155,2347.048649427908,2361.666270885865,1823.339957919415,2454.131812019617,3451.969288288352,2195.951031752141,0,0,3472.2680647936254,3656.956557056152,3784.0665148031408,3425.8940251610807,4825.125035829491,0,0,2631.1115233999813,3330.4894322806554,3446.0387576168528,3184.7724878247245,0,2399.2073137979287,969.2841596429566,2757.0111713465744,8511.864938567687,3410.9107962608623,4824.164436383921,22371.75438523932,66659.99568749877,24247.44137495425,0,15567.971429534404,302.5990093135093,10840.196451374517,60.29733093666072,0,0,11106.895021457007,13.854861535966252,0,0,0,0,0,0,5102.997567209326,1546.1602156619197,5617.2116468562435,12970.983790826842,273.61779520046736,27.17157712232973,0,0,73.92105396462858,355.1870160658808,0,16750.634026567055,0,4479.738636075437,0,2442.023785061503,2769.960656508517,147.77656221185924,2333.304715499722,7657.768035885487,0,9050.901544844268,3772.8508581305,4513.21872523613,0,3245.624266327853,0,8569.56661168429,5556.796597824232,2760.111167313361,0,0,3504.047379683982,3250.595583907064,0,41.99858841062644,0,2762.373407332487,2521.0755146096108,0,0,1952.3586323320476,2278.385110426691,0,2130.0371150681694,0,3661.8985411132917,1740.3761536591683,4219.160565231115,8249.954085031331,505.5974113986833,0,26.534322646765126,0,0,0,0,3599.8702290058804,8865.630199743993,0,0,0,0,0,5164.598869035805,1742.0852337452113,9715.843632030828,3505.7885091527305,0,0,0,1734.1876527296804,7706.455072725187,0,2094.8163674836796,0,50.16038266196292,0,0,0,3100.5960838382935,0,4544.661588841793,0,14.732249644992823,0,0,0,4337.308124860142,3023.9812316254574,3955.6085933620443,0,3268.875797544896,5951.812307584174,4216.837646149153,4169.067034407854,4736.034423715261,3763.3616374112485,0,4283.483069292742,2218.1131720608787,3156.2338296083162,4228.333994355083,0,2891.982018336307,3707.616592806277,5349.320347850793,178.86901906826867,0,2516.758252487095,3541.078095435224,3447.149427922684,4977.600843823599,0,5660.066069824095,3309.8003952764084,3080.030411960653,5346.921618117539,0,0,0,1649.385581117126,0,2840.1999297388243,0,2927.8372034114477,2122.2899426002678,408607.5384371147,4427.508178190074,11686.102869785156,209033.51488695526,0,95.04846771290792,537.6761569436488,0,7.242287875784786,0,37646.002614671415,39323.301760846094
2937.06085842618,2633.2036818784463,2336.8087711402745,1121.5762839167396,1450.6112668755468,2990.8190537841797,2436.008490369645,2007.805924538835,1693.3936122605996,1804.0936489349967,2078.475843331378,1756.3869005359184,1903.9378118612683,2399.511583877191,1883.7557114721526,1473.2312091708027,1968.47494232993,767.6743247672646,1606.305951397242,2242.1037285363914,1550.484632479193,2244.2784246825718,1866.4734091615594,1634.7080529879483,0,1310.2180259245738,1692.1411768267849,2694.021935351607,2508.310022467281,1489.476700451156,1351.180761749883,0,1328.4041045215629,2317.6496657446905,1117.2720239777718,1731.146550923637,2047.8095377315876,1349.1408061761013,1200.343192914114,1777.5333055180372,1617.3901126033538,1370.954612922362,1236.1428774650387,2250.053920220224,1538.0170801923573,1365.7241580631496,1922.0926031106026,3557.6447451210365,0.000760090508186817,1424.400733508238,2223.35573104811,1396.9675912564337,2473.718532521572,1307.443014859655,1766.7764692220894,1560.0918363943908,1455.8535518723095,1920.6552520561256,1819.439933296617,2111.027275937943,1216.586628498001,1688.2679013134393,1566.6310368272123,1670.8661119224657,2220.0385100259778,1709.389426201023,2509.4466938222163,1632.6489244686434,1045.6765511863134,1390.8941657418927,2425.361590484329,1438.2350509874757,2017.8120777176034,1454.8634185350193,1180.7343276775073,1450.7226665855833,1432.6907665663832,1251.029649630664,1704.6218721403422,1401.1343086025247,1331.5090070204353,1404.9921822626852,2305.887174062304,1475.5956089620347,1500.7893957173103,1444.750639171477,1412.51501909282,1294.4931508630393,1260.1984943117109,1743.437436654995,1650.994503120884,2262.1866325005894,1628.7381124643207,1649.9477407333227,2340.605753581681,1252.2584625902537,1581.2836187714022,1133.5832076956422,1140.048363999196,1685.9175953612817,1243.6002691959752,2037.0395059991567,1393.0334447201956,1767.60550350727,2002.128666132497,2119.8706212036727,1411.8721315592084,967.1511808903468,1655.3695267030987,2175.9442163211506,1293.8221162633374,1154.7926251915176,1464.1116073221226,1175.3488092536595,1288.9940753709834,1610.303823638154,1266.6933419015354,1721.9941843171032,2474.9537035545764,2170.960065966786,1444.6854120399462,1141.3852390963966,2729.3791128952707,1000.5114587510034,1351.3661818624114,1302.506416611027,1174.074392827997,1414.5696783953576,1601.193623819679,1775.126090763534,2076.135293291153,2443.30652047687,1606.0874490477274,1379.6388999967355,1351.2998565209427,1687.0650611526871,1791.0929318315525,1521.3417147170435,1368.7003982478673,1332.7770055936348,1670.1675287740222,1418.5130368052137,0,1562.1300498046419,1485.0883223669498,2095.7158116530386,1656.6416392028896,1353.15891634653,541.4193402192484,1479.9547898609594,1500.156113767788,1345.6446132824349,0,1689.4644321726655,2326.9359633613767,0,2227.583629734656,2550.269654445442,2036.2304205159426,1620.3421073875331,1794.6704381016787,1213.6725770717994,2406.3057252861736,1639.462591673172,1457.1197557870355,1552.0536465809214,1418.2098371843006,1531.8607729161497,2641.3173205090434,1376.993404942129,0,0,1974.0945895672426,2158.18108223662,2513.974236936634,2020.8397674077214,2655.3560639566094,0,0,1712.700006185299,2705.603870847343,2123.1813550031243,1803.8855210095896,0,1246.6356384431517,969.279606511186,2655.1647628450955,4751.182315907204,3410.927860014928,2539.87520030977,5780.7427026371215,10086.798385064898,6807.482626311667,0,14477.182626544258,302.61288832360447,3200.37693896662,60.29593660426924,0,0,0,13.856632968028089,0,0,0,0,0,0,3261.900194820878,995.9604599382455,2510.7740777128165,6615.772472973835,273.6254127784131,0,0,0,73.917309212773,266.2630754709496,0,0,0,2527.4569758813877,0,1.4242867865745623,1746.1314051796687,147.77601874126702,2261.3551010108017,4468.394115174118,0,5388.676235245976,3772.8321827624686,4458.427998323474,0,478.9780144965921,0,4904.5965102723385,2738.637740165308,2088.764388364964,0,0,2229.54874258101,1940.5454079907677,0,42.00576477587456,0,2716.061519576631,2521.0676720211277,0,0,1797.7697742753596,1618.4032824760297,0,1967.2826287902353,0,3160.635846188157,1463.3110873973574,4219.167340384872,4605.470746182353,505.60475045795476,0,0,0,0,0,0,2306.705956227797,5357.267158143688,0,0,0,0,0,2429.34584349986,0,9715.887994915316,3217.2668529263447,0,0,0,1734.1897531621576,5874.493222839336,0,1687.9469675815105,0,50.15971436600405,0,0,0,1878.815165572171,0,2599.553280835662,0,0,0,0,0,4160.431223105625,1945.0627244552093,2317.8076577620777,0,2609.918222527843,3621.6420712067993,2756.679279716815,2602.254681385667,2771.418766722449,2289.745803296216,0,2610.9023450764917,1974.0901130292125,2277.2356327034836,2695.0702048473677,0,1777.3854741209202,2641.925373234084,2244.8170648311875,178.8711944384944,0,1537.5305406621364,2073.8562877746444,1793.874468105421,3130.344376994165,0,3268.893092675717,1918.4449798677033,1759.5681134800298,3060.0000627278305,0,0,0,1138.4804157444503,0,2044.5698038490343,0,2546.7194444712422,1703.9770721739676,141974.53232517428,3815.6432185221406,0,79586.48858491541,0,0,0,0,0,0,10663.325941405059,7.014879318478336
11123119,11123167,11123511,11123515,11123327,11123121,11123120,11123115,11123165,11123514,11123118,11123117,11123116,11123113,11123164,11123516,11123114,11123166,11123512,11123328,11123513,11123517,11123521,11123522,11123313,11123507,11123532,11123504,11123503,11123686,11123502,11123329,11123529,11123679,11123690,11123530,11123691,11123676,11123542,11123543,11123620,11123627,11123611,11123326,11123510,11123519,11123524,11123312,11123527,11123533,11123685,11123684,11123536,11123687,11123689,11123539,11123624,11123623,11123541,11123625,11123621,11123646,11123673,11123640,11123619,11123518,11123325,11123525,11123506,11123526,11123534,11123501,11123683,11123644,11123688,11123680,11123645,11123692,11123642,11123622,11123674,11123659,11123647,11123612,11123617,11123613,11123648,11123668,11123649,11123616,11123656,11123629,11123650,11123520,11123523,11123508,11123509,11123531,11123505,11123528,11123535,11123537,11123682,11123538,11123681,11123643,11123540,11123678,11123693,11123677,11123641,11123675,11123626,11123544,11123658,11123628,11123672,11123657,11123670,11123637,11123702,11123662,11123639,11123638,11123614,11123669,11123701,11123703,11123663,11123666,11123655,11123618,11123660,11123661,11123615,11123671,11123667,11123610,11123636,11123609,11123630,11123608,13912113,11123664,11123704,11123634,11123633,11123602,11123654,11123651,11123652,11123705,11123632,11123706,11123711,13912113,11123607,11123631,11123605,11123653,11123708,11123709,11123601,11123635,11123665,11123606,11123604,11123603,11123707,11123710,11122106,11122110,11126122,11126123,11126124,11126125,11126201,11126210,11126206,11126202,11126203,11126204,11126205,11126120,11126121,11127107,11127102,11126207,11127112,11125125,11125102,11124212,11124219,11124216,11124220,11124219,11124215,11124206,11124219,11124219,11124207,11128218, , ,13913218,13913205,13913219,13913220,11123409,11123410,11123411,11127117,11127118,11123167,11128205,11128212,11122103,11125117,13913211,11125126,11125121,11125120, ,11125122,11123306,11128202,11128201,11128225,11128208,11128224,11127109,11127109,11128222,11148102,11127113,11128221,11128220,11123318,11126139,11126140,11126134,11126129,11127114,11128204,11126101,11126118,11126119,11126141,11126102,11126105,11126108,11147102,11126109,11126131,11126117,11126104,11126110,11126142,11126143,11147101,13934299,11126135,11148101,11124227,11124226,11126135,11125114,11124232,11127103,11147103,11124229,11124228,11126136,11126132,11126114,11124231,11124230,13934423,13934203,11122105,11123308,13934426,13934215,13934425,13934202,13934216,13934201,13934424,11123309,13940203A,11123310,11121101,11149111,11149108,11127120,11123311,11123305,11123316,11123315,11123330,11123314,11123324,11123320,11123317,11123321,11123412,11123323,11123401,11123322,11123319,11123405,11123414,11123403,11123404,11123408,11122103,11123413,11121104,11123406,11123407,11123402,11126130,11126128,11126127,11126126,11125116,13913206,11121101, ,11123712,13715202,11123713,11126144,11126107,11126115,11123331,11123304, ,11123307,13934114,11123336,11123335,11123334,11123333,11123332,11123338,11123331
Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Utility,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Agriculture,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Agriculture,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Large Lot Residential,Single Family - Detached,Single Family - Detached,Large Lot Residential,Single Family - Detached,Large Lot Residential,Industrial,Civic/Institutional,Vacant,Large Lot Residential,Civic/Institutional,Retail,Vacant,Single Family - Detached,Single Family - Detached,Industrial,Single Family - Detached,Transportation,Vacant,Transportation,Large Lot Residential,Transportation,Transportation,Single Family - Detached,Vacant,Single Family - Detached,Large Lot Residential,Vacant,Vacant,Agriculture,Single Family - Detached,Large Lot Residential,Large Lot Residential,Vacant,Vacant,Vacant,Single Family - Detached,Vacant,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Large Lot Residential,Large Lot Residential,Single Family - Detached,Single Family - Detached,Large Lot Residential,Single Family - Detached,Industrial,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Vacant,Single Family - Detached,Single Family - Detached,Vacant,Vacant,Vacant,Large Lot Residential,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Civic/Institutional,Single Family - Detached,Single Family - Detached,Vacant,Vacant,Single Family - Detached,Vacant,Vacant,Vacant,Single Family - Detached,Large Lot Residential,Vacant,Vacant,Vacant,Vacant,Vacant,Large Lot Residential,Vacant,Large Lot Residential,Single Family - Detached,Vacant,Vacant,Single Family - Detached,Industrial,Large Lot Residential,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Vacant,Utility,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Large Lot Residential,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Single Family - Detached,Vacant,Single Family - Detached,Single Family - Detached,Single Family - Detached,Large Lot Residential,Warehouse/Distribution,Large Lot Residential,Transportation,Single Family - Detached,Vacant,Single Family - Detached,Agriculture,Agriculture,Single Family - Detached,Multi-Family,Large Lot Residential,Vacant,Civic/Institutional,Vacant,Vacant,Vacant,Retail,Vacant,Vacant,Retail,Vacant
