0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1133967.6628688183,391231.5127276841,229214.46437129859,28873.543462434052,38870.7088759153,50957.941080536686,286359.55068387755,44455.383921195564,72153.1068085703,7898.137021464256,52222.45731957962,9833.181782090074,9839.714216004873,49467.99054972829,240737.44155228222,307660.1695937316,7628.960625216683,8400.786401194651,68291.13776873532,9045.564162266985,18106.104110230808,8995.125713582092,9012.558650664301,973762.2975865635,39892.95219147951,441601.72254486236,714580.9851231123,30469.149555025706,14099.037979311322,16933.41689685519,18080.133380103776,18140.52741508068,6339.682134462037,474833.0868123573,84580.35785774667,36627.81609337977,631148.4765520522,71785.89115329334,60047.20385933443,20180.832451633843,473720.15363361465,540409.7285891222,23176.273953927994,54578.63670990814,2824.3704997520267,448714.0847883472,102546.52187853203,31475.534986502662,34882.6535674941,89388.93817917784,91936.38507277364,44909.0591862082,13698.272796225325,256656.69841102202,388126.6017024038,111931.39315247153,89025.52219559663,38390.82335356373,39200.88929522715,19621.51936527021,19569.8472618058,52721.01287649457,44504.94704019065,828454.0581194193,52242.540567494805,13433.729953372465,24545.14666407111,8184.635762000203,8161.192982245759,8184.139616442821,16752.150847776444,24557.785968388605,97537.14015838526,7647.542228292653,55519.74078411601,408461.14211906836,38102.16703230684,154496.32132099423,124643.07830321431,51810.496343561004
797759.9996695581,291809.58951107156,226233.9961466887,16890.768415836243,25705.811480269585,20830.691278453258,121979.56798065497,28268.215088500012,23236.549724835808,7855.347412257028,39857.65213904275,9694.849806268261,9800.967036392372,30779.84678330585,200769.4628582945,261070.00038769923,6154.144317105587,6039.935169494119,37258.749651479804,8872.877718812531,15043.463692211793,5905.282542480425,8091.40318113033,693549.3355904239,37215.61490500696,158558.52122264932,511548.46424896,24205.72004968888,8464.85551724462,14432.3476676924,16525.055406648135,10651.390370364785,4453.920506808773,314628.04250562395,34186.19747335644,30009.81603791409,243701.1463106614,46448.57331663902,47511.27820585771,4614.314482554898,356441.6932008076,483196.30272259505,5890.801683626748,44865.194878725735,2404.4223568484786,222180.57949663,67589.20165776373,10782.44317957622,21197.072648551166,82173.9517394615,76030.87930197568,36210.65289372171,5137.252605461483,187785.83610824173,143174.70413779403,80306.78503147654,64599.93532079674,33306.562409848964,38657.73956812324,17311.62167184505,18949.937353646685,35451.18546005058,31320.632088136743,529973.6006146413,38902.683890570865,6624.341813143776,21515.595387402383,7003.141702696054,7247.139852035951,6460.687995974716,13411.613388058991,9738.970199954463,74132.05590769176,4116.852658484756,43445.468704016304,316474.29597594903,31708.923861541356,126064.01244320186,99405.70068197788,37956.870536856266
317508.62179382733,98952.44618822675,150984.80760584772,7095.21859539021,13525.012139011744,20828.416157066647,98306.73883313473,4352.754645218086,9997.488409542178,5783.17942856519,35290.40854723507,8670.304886905735,9120.582411607327,7450.244605476075,52121.11036780155,76735.19047510102,5929.583998079486,5706.677352725363,21372.146274539245,8491.730950934636,14080.533063057244,5905.282542480425,8091.40318113033,156605.4537565695,10659.05886625729,0,149922.77092620512,0,3016.9868555426674,11639.054351874709,11578.018284226993,10286.403539536212,0,151728.18664527815,4248.795615264291,2120.4173226358157,65019.75503503227,4368.129062499443,39371.282467887126,398.98999159101675,102038.28329171195,312421.4157061167,0,27820.30031425259,0,56419.89075501714,5915.630587624864,0,6947.8993021107,61704.62019399698,41712.37604900795,3728.9425072623485,0,114266.72497787402,19683.80840960612,58112.31754014842,32677.460339563248,14288.878574837654,33405.5010095197,16371.77588052412,17899.249935568518,4635.809936614005,3032.654710447197,154485.80869308132,4973.30277512681,0,16768.121320354476,5116.749833819931,6132.696454431831,6094.951100580053,12301.30210395596,9738.970199954463,69897.97088063383,0,12046.244037866827,111838.53150465085,13834.500927719599,105206.00605317774,79647.7652905747,11644.19081946285
14702128,19102205,07302C99,12705712,17503408,12103313,17512105,16908209,18116207,12306103,12103103,12306103,12306103,14920356,13308115,13306254,12306116,12306103,14701401,12521107,12521107,12521107,12521107,22144110,12901625,10509106,22317207,16106503,16106503,12521107,12521107,12521107,12306301,20924302,17124301,10304128,10509106,15705138,12305310,12305310,19102207,20516301,17316315,11908844,11908844,22325303,17316315,17316315,17514203,14903201,12103104,10304128,10304128,12703901,10509106,12103103,12103104,17902237,12306108,12306103,12306103,17313105,15705134,16102711,10316107,11907135,12901315,12901315,12901315,12901315,12303605,12510605,12510605,11908205,20924305,12104111,12107709,12306301,12303605,14920620
Transportation,Retail,Vertical Mixed Use,Single Family - Attached,Multi-Family,Industrial,Multi-Family,Retail,Single Family - Detached,Multi-Family,Retail,Multi-Family,Multi-Family,Office,Retail,Retail,Multi-Family,Multi-Family,Warehouse/Distribution,Single Family - Attached,Office,Office,Retail,Retail,Retail,Civic/Institutional,Retail,Retail,Retail,Office,Office,Office,Office,Civic/Institutional,Retail,Retail,Civic/Institutional,Retail,Retail,Retail,Retail,Warehouse/Distribution,Vacant,Warehouse/Distribution,Vacant,Retail,Warehouse/Distribution,Office,Retail,Warehouse/Distribution,Retail,Vacant,Retail,Civic/Institutional,Civic/Institutional,Retail,Retail,Horizontal Mixed Use Non-Residential,Retail,Multi-Family,Multi-Family,Retail,Retail,Retail,Retail,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Retail,Multi-Family,Civic/Institutional,Retail,Multi-Family,Office,Vertical Mixed Use,Multi-Family,Multi-Family
